,user.followers_count,user.friends_count,user.listed_count,user.favourites_count,user.verified,created_at,full_text,id,sentiment
35,1079,1382,90,12778,False,Wed Jun 09 20:41:47 +0000 2021,"RT @BP_Rising: Would bet big money that if SEC did a serious probe into $GME trading, they would find painting of the tape activity among w…",1402727648716021772,0.0772
88,1078,2791,1,8461,False,Wed Jun 09 20:40:48 +0000 2021,$gme $amc they using the same tactics again in the after hr market. Fake shares #nakedshorts . We ain't selling! Just Hodl! 🙌💎🚀🐒,1402727400375476229,-0.3578
91,1018,232,31,13757,False,Wed Jun 09 20:40:45 +0000 2021,"@RickyAnalog They will all do, not only $GME",1402727386815291393,0.0
79,947,2165,6,35,False,Wed Jun 09 20:40:53 +0000 2021,"$AMC AA just announced we OWN 98% of the FLOAT!

SO WTF IS GOING ON #amc #apestock #HODL #DiamondHands #ToTheMoom #stocks #razielmcallen #gme #apemarket #apestotherescue #amc100k #NakedShorting #financialtreason #retweet https://t.co/cM3OqHIEAN",1402727421120548870,-0.7815
64,894,1934,2,7700,False,Wed Jun 09 20:41:13 +0000 2021,"RT @GMEshortsqueeze: Everyone saw the dilution with $AMC = it got scooped up like it was nothing &amp; kept skyrocketing.

$GME's ATM announcem…",1402727506520821763,0.3612
82,887,388,6,16030,False,Wed Jun 09 20:40:52 +0000 2021,Damnnnnnnn that #GME went straight down lmao damnnnn...,1402727418696241158,0.7003
62,826,639,0,647,False,Wed Jun 09 20:41:16 +0000 2021,"Mad $GME and $AMC so now they are trying to tank them. Man, f them, I ain’t ever selling now. Raise the mf floor.",1402727516603813889,-0.4939
72,730,352,2,32908,False,Wed Jun 09 20:41:01 +0000 2021,"RT @ZIONLIO29288757: $GME

IF ANYONE WONDERED...
WHY @GAMESTOP PRICE DROPPED NOW....
MANIPULATION.

SHORTERS JUST SHORTED 
ALLLLLL ---- $GM…",1402727454041640960,-0.6874
90,666,4180,4,4203,False,Wed Jun 09 20:40:46 +0000 2021,RT @YahooFinance: .@SpyJared on $GME earnings: “There is a shake-up in the C-suite. They have a new CEO and a new CFO.” https://t.co/hHyDpH…,1402727390917312517,0.2023
65,600,85,4,2605,False,Wed Jun 09 20:41:13 +0000 2021,$gme shit il take more,1402727505929326595,-0.5574
81,599,1112,1,2287,False,Wed Jun 09 20:40:52 +0000 2021,"So both $amc and $GME came out and said there are more shares in circulation than exist. I’ll hold for the rest of my life. 

2008: Synthetic CDOs
2020: synthetic Shorts

During a pandemic. To companies that employ humans. https://t.co/7ywZjZnvCr",1402727419266715650,0.6478
41,497,601,2,23486,False,Wed Jun 09 20:41:43 +0000 2021,RT @JamesCullenB: Anyone panic selling $AMC right now is cray. Im still holding FULL. Gonna run it up. $100+ easily attainable but we gonna…,1402727632471474179,-0.1154
86,473,8,1,72,False,Wed Jun 09 20:40:49 +0000 2021,$GME - did anyone really expect anything else? https://t.co/52U3l7NtAJ,1402727404037083140,0.0
69,402,3116,30,3823,False,Wed Jun 09 20:41:07 +0000 2021,RT @jimmilegs33: Cats out of the bag for both #GME and #AMC. More shares than the total float. Short sellers are going to toss Hail Marys a…,1402727482692935687,0.4201
94,372,1855,18,21752,False,Wed Jun 09 20:40:36 +0000 2021,"RT @InZaneViews: $gme is fine

Relax, you'll see, since January, I wasn't wrong.",1402727351021150213,0.7054
49,369,692,0,38559,False,Wed Jun 09 20:41:29 +0000 2021,"RT @CokeRatCramer: Retweet if you’re tits are jacked 

$GME $AMC",1402727575013711877,-0.2263
97,351,809,3,6941,False,Wed Jun 09 20:40:31 +0000 2021,RT @jimmilegs33: Cats out of the bag for both #GME and #AMC. More shares than the total float. Short sellers are going to toss Hail Marys a…,1402727329164632067,0.4201
78,343,403,0,7878,False,Wed Jun 09 20:40:55 +0000 2021,RT @jimmilegs33: Cats out of the bag for both #GME and #AMC. More shares than the total float. Short sellers are going to toss Hail Marys a…,1402727430603816968,0.4201
74,289,445,0,4094,False,Wed Jun 09 20:41:00 +0000 2021,RT @jimmilegs33: Cats out of the bag for both #GME and #AMC. More shares than the total float. Short sellers are going to toss Hail Marys a…,1402727450602266626,0.4201
52,287,824,1,312,False,Wed Jun 09 20:41:28 +0000 2021,RT @davidbr813: #HoldTheMarketAccountable WE DEMAND the market be held accountable for the games that have been played at the retail invest…,1402727568357433347,0.1449
,user.followers_count,user.friends_count,user.listed_count,user.favourites_count,user.verified,created_at,full_text,id,sentiment
14,147913,3240,1042,14495,False,Wed Jun 09 20:43:14 +0000 2021,#GME should trade in $250 to $270 range tomorrow after cash opens imho,1402728014585249796,0.0
2,100118,16904,2245,143849,True,Tue Jun 08 23:15:33 +0000 2021,"Hey #APES #AMCARMY: @TND and @janjeffcoat are having me on tomorrow morning at 8:40 a ET. What is it that you want to let America know about your purpose and fight? Reply to LMK so I can rep tomorrow!  

$AMC $GME #dumbmoney #AMCAPES #apestogetherstrong #NakedShorts",1402403955355815939,-0.3382
1,100118,16904,2245,143849,True,Wed Jun 09 14:20:04 +0000 2021,This morning I talked about what the #ApeArmy and retail investors are fighting for... $AMC $GME #apestogetherstrong #APES #AMCArmy #dumbmoney #NakedShorts #FinancialTreason https://t.co/NhnKkXmDHm,1402631585598431243,-0.3182
32,94281,145,984,9527,False,Wed Jun 09 20:43:01 +0000 2021,RT @StockMKTNewz: Talking GameStop $GME earnings  https://t.co/owAYYcQFtH,1402727960717758469,0.2023
0,26862,2007,593,7174,True,Tue Jun 08 19:28:37 +0000 2021,"@S3Partners ""Squeeze Score"" of 10/10

(Companies with the highest potential for a short squeeze)

$AMC 
$GME
$CLOV
$BYND
$SKLZ
$SPCE
$UPST
$BBBY
$MVIS
$NKLA",1402346848824836098,0.2263
67,23661,116,76,7281,False,Wed Jun 09 20:42:10 +0000 2021,"Alright here we are: vote count
It's interesting...

https://t.co/KKmztd5blW

#GME $GME #SUPERSTONK",1402727746128605187,0.25
53,23378,1399,672,2607,True,Wed Jun 09 20:42:26 +0000 2021,"*GAMESTOP RECEIVED REQUEST FROM SEC STAFF ON MAY 26: 10-Q

This was expected, but still GME, AMC, GEO...lots of #memestocks falling after-hours",1402727812533043202,-0.2263
79,13971,209,74,11655,False,Wed Jun 09 20:41:58 +0000 2021,"$GME Earnings: Net Sales Grew 25% to $1.3B

https://t.co/PkMfLe0mrK",1402727693615984640,0.2023
